column,role,dtype,missing_pct,note
nbh1200_renter_share,robustness,float32,4.69,"same feature on a 1,200 m circle - robustness check only"
nbh1200_unemployment_rate,robustness,float32,4.69,"same feature on a 1,200 m circle - robustness check only"
nbh1200_share_bach_plus,robustness,float32,4.69,"same feature on a 1,200 m circle - robustness check only"
nbh1200_residential_stability,robustness,float32,4.69,"same feature on a 1,200 m circle - robustness check only"
nbh1200_share_drive_to_work,robustness,float32,4.69,"same feature on a 1,200 m circle - robustness check only"
nbh1200_unemployment_rel,robustness,float32,4.69,"same feature on a 1,200 m circle - robustness check only"
nbh1200_median_income_approx,robustness,float32,4.69,"same feature on a 1,200 m circle - robustness check only"
nbh1200_income_weight_missing,quality_flag,float32,4.75,neighbourhood-circle quality flag
nbh1200_median_age_approx,robustness,float32,4.69,"same feature on a 1,200 m circle - robustness check only"
nbh1200_income_pctile,robustness,float32,4.76,"same feature on a 1,200 m circle - robustness check only"
nbh1200_residents_2010,quality_flag,float32,4.73,neighbourhood-circle quality flag
nbh800_circle_truncated,quality_flag,object,4.66,neighbourhood-circle quality flag
nbh1200_circle_truncated,quality_flag,object,4.66,neighbourhood-circle quality flag
nbh800_low_residents,quality_flag,object,4.66,neighbourhood-circle quality flag
nbh1200_low_residents,quality_flag,object,4.66,neighbourhood-circle quality flag
geo_bucket,quality_flag,object,4.66,data-quality flag
nbh_geo_source,quality_flag,str,0.0,data-quality flag
plate_missing,quality_flag,bool,0.0,"recording change in 2017 - a date proxy, never a predictor"
plate_state,analysis_helper,category,0.0,"maps, veil-of-darkness test, descriptive tables - not a feature by default"
plate_out_of_state,feature,boolean,0.82,registration plate (share rises over time - monitor)
plate_group,feature,category,0.0,registration plate
plate_region,feature,category,0.0,registration plate
plate_distance_km,feature,float32,0.82,registration plate
hour_missing,feature,bool,0.0,time of the stop
hour,feature,int8,0.0,time of the stop
minute_of_day,feature,Int16,0.25,time of the stop
hour_sin,feature,float32,0.25,time of the stop
hour_cos,feature,float32,0.25,time of the stop
time_heaped,quality_flag,boolean,0.0,data-quality flag
day_of_week,feature,int8,0.0,time of the stop
is_weekend,feature,bool,0.0,time of the stop
month,feature,int8,0.0,time of the stop
month_sin,feature,float32,0.0,time of the stop
month_cos,feature,float32,0.0,time of the stop
year,split_helper,int16,0.0,"for time splits, grouped validation, officer-level analysis - not a feature"
is_federal_holiday,feature,bool,0.0,time of the stop
is_holiday_window,feature,bool,0.0,time of the stop
dst_ambiguous,quality_flag,bool,0.0,data-quality flag
is_dst,feature,boolean,0.25,time of the stop
sun_elevation_deg,feature,float32,0.25,time of the stop
light_period,feature,category,0.25,time of the stop
is_dark,feature,boolean,0.25,time of the stop
minutes_after_civil_dusk,analysis_helper,Int16,0.25,"maps, veil-of-darkness test, descriptive tables - not a feature by default"
in_intertwilight,analysis_helper,boolean,0.0,"maps, veil-of-darkness test, descriptive tables - not a feature by default"
